Total Nacional;Comunidades y Ciudades Autónomas;Provincias;Islas;Indicadores de renta media;Periodo;Total
Total Nacional;;;;Renta neta media por persona;2023;15.036
Total Nacional;Andalucía;;;Renta neta media por persona;2023;12.522
Total Nacional;Andalucía;Almería;;Renta neta media por persona;2023;11.543
Total Nacional;Andalucía;Cádiz;;Renta neta media por persona;2023;12.335
Total Nacional;Andalucía;Córdoba;;Renta neta media por persona;2023;12.386
Total Nacional;Andalucía;Granada;;Renta neta media por persona;2023;12.709
Total Nacional;Andalucía;Huelva;;Renta neta media por persona;2023;12.008
Total Nacional;Andalucía;Jaén;;Renta neta media por persona;2023;11.847
Total Nacional;Andalucía;Málaga;;Renta neta media por persona;2023;12.950
Total Nacional;Andalucía;Sevilla;;Renta neta media por persona;2023;12.964
Total Nacional;Aragón;;;Renta neta media por persona;2023;15.457
Total Nacional;Aragón;Huesca;;Renta neta media por persona;2023;15.140
Total Nacional;Aragón;Teruel;;Renta neta media por persona;2023;14.573
Total Nacional;Aragón;Zaragoza;;Renta neta media por persona;2023;15.650
Total Nacional;Asturias, Principado de;;;Renta neta media por persona;2023;15.784
Total Nacional;Asturias, Principado de;Asturias;;Renta neta media por persona;2023;15.784
Total Nacional;Balears, Illes;;;Renta neta media por persona;2023;16.118
Total Nacional;Balears, Illes;Balears, Illes;;Renta neta media por persona;2023;16.118
Total Nacional;Balears, Illes;Balears, Illes;Ibiza y Formentera;Renta neta media por persona;2023;17.125
Total Nacional;Balears, Illes;Balears, Illes;Mallorca;Renta neta media por persona;2023;15.902
Total Nacional;Balears, Illes;Balears, Illes;Menorca;Renta neta media por persona;2023;16.472
Total Nacional;Canarias;;;Renta neta media por persona;2023;13.595
Total Nacional;Canarias;Palmas, Las;;Renta neta media por persona;2023;13.806
Total Nacional;Canarias;Palmas, Las;Fuerteventura;Renta neta media por persona;2023;12.945
Total Nacional;Canarias;Palmas, Las;Gran Canaria;Renta neta media por persona;2023;13.978
Total Nacional;Canarias;Palmas, Las;Lanzarote;Renta neta media por persona;2023;13.521
Total Nacional;Canarias;Santa Cruz de Tenerife;;Renta neta media por persona;2023;13.366
Total Nacional;Canarias;Santa Cruz de Tenerife;Gomera, La;Renta neta media por persona;2023;13.983
Total Nacional;Canarias;Santa Cruz de Tenerife;Hierro, El;Renta neta media por persona;2023;13.397
Total Nacional;Canarias;Santa Cruz de Tenerife;Palma, La;Renta neta media por persona;2023;14.093
Total Nacional;Canarias;Santa Cruz de Tenerife;Tenerife;Renta neta media por persona;2023;13.288
Total Nacional;Cantabria;;;Renta neta media por persona;2023;15.043
Total Nacional;Cantabria;Cantabria;;Renta neta media por persona;2023;15.043
Total Nacional;Castilla y León;;;Renta neta media por persona;2023;15.102
Total Nacional;Castilla y León;Ávila;;Renta neta media por persona;2023;13.602
Total Nacional;Castilla y León;Burgos;;Renta neta media por persona;2023;15.988
Total Nacional;Castilla y León;León;;Renta neta media por persona;2023;15.110
Total Nacional;Castilla y León;Palencia;;Renta neta media por persona;2023;15.147
Total Nacional;Castilla y León;Salamanca;;Renta neta media por persona;2023;14.583
Total Nacional;Castilla y León;Segovia;;Renta neta media por persona;2023;14.949
Total Nacional;Castilla y León;Soria;;Renta neta media por persona;2023;15.626
Total Nacional;Castilla y León;Valladolid;;Renta neta media por persona;2023;15.590
Total Nacional;Castilla y León;Zamora;;Renta neta media por persona;2023;13.897
Total Nacional;Castilla - La Mancha;;;Renta neta media por persona;2023;12.896
Total Nacional;Castilla - La Mancha;Albacete;;Renta neta media por persona;2023;13.058
Total Nacional;Castilla - La Mancha;Ciudad Real;;Renta neta media por persona;2023;12.529
Total Nacional;Castilla - La Mancha;Cuenca;;Renta neta media por persona;2023;12.725
Total Nacional;Castilla - La Mancha;Guadalajara;;Renta neta media por persona;2023;14.689
Total Nacional;Castilla - La Mancha;Toledo;;Renta neta media por persona;2023;12.422
Total Nacional;Cataluña;;;Renta neta media por persona;2023;16.461
Total Nacional;Cataluña;Barcelona;;Renta neta media por persona;2023;17.062
Total Nacional;Cataluña;Girona;;Renta neta media por persona;2023;15.130
Total Nacional;Cataluña;Lleida;;Renta neta media por persona;2023;14.713
Total Nacional;Cataluña;Tarragona;;Renta neta media por persona;2023;14.559
Total Nacional;Comunitat Valenciana;;;Renta neta media por persona;2023;13.612
Total Nacional;Comunitat Valenciana;Alicante/Alacant;;Renta neta media por persona;2023;12.313
Total Nacional;Comunitat Valenciana;Castellón/Castelló;;Renta neta media por persona;2023;14.029
Total Nacional;Comunitat Valenciana;Valencia/València;;Renta neta media por persona;2023;14.435
Total Nacional;Extremadura;;;Renta neta media por persona;2023;12.326
Total Nacional;Extremadura;Badajoz;;Renta neta media por persona;2023;12.068
Total Nacional;Extremadura;Cáceres;;Renta neta media por persona;2023;12.771
Total Nacional;Galicia;;;Renta neta media por persona;2023;14.643
Total Nacional;Galicia;Coruña, A;;Renta neta media por persona;2023;15.319
Total Nacional;Galicia;Lugo;;Renta neta media por persona;2023;14.316
Total Nacional;Galicia;Ourense;;Renta neta media por persona;2023;14.049
Total Nacional;Galicia;Pontevedra;;Renta neta media por persona;2023;14.137
Total Nacional;Madrid, Comunidad de;;;Renta neta media por persona;2023;18.142
Total Nacional;Madrid, Comunidad de;Madrid;;Renta neta media por persona;2023;18.142
Total Nacional;Murcia, Región de;;;Renta neta media por persona;2023;12.446
Total Nacional;Murcia, Región de;Murcia;;Renta neta media por persona;2023;12.446
Total Nacional;Navarra, Comunidad Foral de;;;Renta neta media por persona;2023;16.423
Total Nacional;Navarra, Comunidad Foral de;Navarra;;Renta neta media por persona;2023;16.423
Total Nacional;País Vasco;;;Renta neta media por persona;2023;18.885
Total Nacional;País Vasco;Araba/Álava;;Renta neta media por persona;2023;17.806
Total Nacional;País Vasco;Bizkaia;;Renta neta media por persona;2023;18.738
Total Nacional;País Vasco;Gipuzkoa;;Renta neta media por persona;2023;19.616
Total Nacional;Rioja, La;;;Renta neta media por persona;2023;14.827
Total Nacional;Rioja, La;Rioja, La;;Renta neta media por persona;2023;14.827
Total Nacional;Ceuta;;;Renta neta media por persona;2023;14.625
Total Nacional;Ceuta;Ceuta;;Renta neta media por persona;2023;14.625
Total Nacional;Melilla;;;Renta neta media por persona;2023;13.995
Total Nacional;Melilla;Melilla;;Renta neta media por persona;2023;13.995
